N,alpha,n_iter,p_pos,source,v,x_id
1000,1.1,11.0,0.5,SE,0.38579661190792464,x
1000,1.1,15.0,0.5,EP,0.39210612813523327,x
1000,1.1,,0.5,mse,0.3919463176890509,x
1000,1.12,12.0,0.5,SE,0.37560574957689313,x
1000,1.12,17.0,0.5,EP,0.38658559197231335,x
1000,1.12,,0.5,mse,0.4095008893164997,x
1000,1.1400000000000001,12.0,0.5,SE,0.36435157431575466,x
1000,1.1400000000000001,20.0,0.5,EP,0.3808549859273138,x
1000,1.1400000000000001,,0.5,mse,0.31440167204228486,x
1000,1.16,13.0,0.5,SE,0.35376720944274626,x
1000,1.16,18.0,0.5,EP,0.3482914605430569,x
1000,1.16,,0.5,mse,0.3819167282480123,x
1000,1.18,13.0,0.5,SE,0.3427826636821933,x
1000,1.18,21.0,0.5,EP,0.36466627983944083,x
1000,1.18,,0.5,mse,0.39184182520660155,x
1000,1.2,14.0,0.5,SE,0.3317659723158745,x
1000,1.2,21.0,0.5,EP,0.3144224837218079,x
1000,1.2,,0.5,mse,0.2608690367546662,x
1000,1.22,14.0,0.5,SE,0.3205845488558885,x
1000,1.22,23.0,0.5,EP,0.32442433969871404,x
1000,1.22,,0.5,mse,0.3013706793811848,x
1000,1.24,15.0,0.5,SE,0.3090494403687886,x
1000,1.24,21.0,0.5,EP,0.29820833455869533,x
